gradatum	4
gradatum-acl-auth	109
gradatum-acl-policy	24
gradatum-admin	1
gradatum-auth	87
gradatum-cache	33
gradatum-chat	357
gradatum-core	1806
gradatum-curator	241
gradatum-db-sqlite	65
gradatum-dto	504
gradatum-embed	190
gradatum-engine	140
gradatum-gateway	1
gradatum-index	594
gradatum-ingest	23
gradatum-markdown	21
gradatum-queue	208
gradatum-sdk-rs	2
gradatum-search	138
gradatum-server	2
gradatum-storage	89
gradatum-studio	1
gradatum-vault	270
gradatum-warden	76
gradatum-worker	1
TOTAL	4987
CRATES	26
